lon,lat,rate
175.5500,-39.8500,0.0000001382
175.5500,-39.7500,0.0000007812
175.5500,-39.6500,0.0000007812
175.5500,-39.5500,0.0000007812
175.5500,-39.4500,0.0000007812
175.5500,-39.3500,0.0000007812
175.6500,-41.9500,0.0000190021
175.6500,-41.8500,0.0002167783
175.6500,-41.7500,0.0005679006
175.6500,-41.6500,0.0011481713
175.6500,-41.5500,0.0018074202
175.6500,-41.4500,0.0020973589
175.6500,-41.3500,0.0020494436
175.6500,-41.2500,0.0019802414
175.6500,-41.1500,0.0019046299
175.6500,-41.0500,0.0018455318
175.6500,-40.9500,0.0018124713
175.6500,-40.8500,0.0017906998
175.6500,-40.7500,0.0017459689
175.6500,-40.6500,0.0016525295
175.6500,-40.5500,0.0014778026
175.6500,-40.4500,0.0012103533
175.6500,-40.3500,0.0009074440
175.6500,-40.2500,0.0006215406
175.6500,-40.1500,0.0003713371
175.6500,-40.0500,0.0001551002
175.6500,-39.9500,0.0000396320
175.6500,-39.8500,0.0000054326
175.6500,-39.7500,0.0000007812
175.6500,-39.6500,0.0000007812
175.6500,-39.5500,0.0000007812
175.6500,-39.4500,0.0000007812
175.6500,-39.3500,0.0000007812
175.7500,-41.8500,0.0002220885
175.7500,-41.7500,0.0005554621
175.7500,-41.6500,0.0010160357
175.7500,-41.5500,0.0015131017
175.7500,-41.4500,0.0018225633
175.7500,-41.3500,0.0019116284
175.7500,-41.2500,0.0019195772
175.7500,-41.1500,0.0018963216
175.7500,-41.0500,0.0018588839
175.7500,-40.9500,0.0018435613
175.7500,-40.8500,0.0018646892
175.7500,-40.7500,0.0018663606
175.7500,-40.6500,0.0017887221
175.7500,-40.5500,0.0015908723
175.7500,-40.4500,0.0013113702
175.7500,-40.3500,0.0009917205
175.7500,-40.2500,0.0007107984
175.7500,-40.1500,0.0004530092
175.7500,-40.0500,0.0002378322
175.7500,-39.9500,0.0001075295
175.7500,-39.8500,0.0000426340
175.7500,-39.7500,0.0000007812
175.7500,-39.6500,0.0000007812
175.7500,-39.5500,0.0000007812
175.7500,-39.4500,0.0000007812
175.7500,-39.3500,0.0000007812
175.7500,-39.2500,0.0000007812
175.8500,-41.8500,0.0001738815
175.8500,-41.7500,0.0004453296
175.8500,-41.6500,0.0007881053
175.8500,-41.5500,0.0011838343
175.8500,-41.4500,0.0015195799
175.8500,-41.3500,0.0017251015
175.8500,-41.2500,0.0018302223
175.8500,-41.1500,0.0018711087
175.8500,-41.0500,0.0018595145
175.8500,-40.9500,0.0018492546
175.8500,-40.8500,0.0019284218
175.8500,-40.7500,0.0019729129
175.8500,-40.6500,0.0019370033
175.8500,-40.5500,0.0017177858
175.8500,-40.4500,0.0014418551
175.8500,-40.3500,0.0011272330
175.8500,-40.2500,0.0008270179
175.8500,-40.1500,0.0005536658
175.8500,-40.0500,0.0003488553
175.8500,-39.9500,0.0002185819
175.8500,-39.8500,0.0001276072
175.8500,-39.7500,0.0000533040
175.8500,-39.6500,0.0000134577
175.8500,-39.5500,0.0000007812
175.8500,-39.4500,0.0000007812
175.8500,-39.3500,0.0000007812
175.8500,-39.2500,0.0000007812
175.8500,-39.1500,0.0000007812
175.9500,-41.8500,0.0000985417
175.9500,-41.7500,0.0003043658
175.9500,-41.6500,0.0005270256
175.9500,-41.5500,0.0009026544
175.9500,-41.4500,0.0012811571
175.9500,-41.3500,0.0015622576
